Dish Name,Cuisine,Meal Type,Season,Main Ingredients,Is Jain,Cooking Time,Recipe URL,Notes
Dal Tadka,North Indian,Lunch,All Year,"Toor Dal, Onion, Tomato, Cumin",No,30,,Basic everyday dal
Rajma,North Indian,Lunch,Winter,"Rajma, Onion, Tomato, Ginger-Garlic",No,45,,Protein rich
Chole,North Indian,Lunch,All Year,"Chickpeas, Onion, Tomato, Garam Masala",No,40,,Popular punjabi dish
Palak Paneer,North Indian,Lunch,Winter,"Spinach, Paneer, Onion, Garlic",No,35,,Iron rich
Matar Paneer,North Indian,Lunch,Winter,"Green Peas, Paneer, Tomato",No,30,,Popular dish
Aloo Gobhi,North Indian,Lunch,Winter,"Potato, Cauliflower, Turmeric",Yes,25,,Classic combination
Bhindi Do Pyaza,North Indian,Lunch,Summer,"Okra, Onion, Tomato, Coriander",No,30,,Dry vegetable
Baingan Bharta,North Indian,Lunch,Monsoon,"Brinjal, Onion, Tomato, Garlic",No,35,,Smoky flavor
Kadi Chawal,North Indian,Lunch,All Year,"Yogurt, Gram Flour, Rice",No,40,,Comfort food
Aloo Paratha,North Indian,Breakfast,Winter,"Potato, Wheat Flour, Cumin",Yes,25,,Stuffed bread
Kheer,North Indian,Dinner,All Year,"Rice, Milk, Sugar, Cardamom",Yes,35,,Sweet dessert
Paneer Butter Masala,North Indian,Lunch,All Year,"Paneer, Butter, Tomato, Cashew, Cream",No,35,,Restaurant style favorite
Malai Kofta,North Indian,Dinner,Winter,"Paneer, Potato, Cream, Cashew",No,50,,Rich creamy curry
Shahi Paneer,North Indian,Dinner,All Year,"Paneer, Onion, Tomato, Cream, Nuts",No,40,,Mughlai style
Dal Makhani,North Indian,Dinner,Winter,"Urad Dal, Rajma, Butter, Cream, Tomato",No,60,,Slow cooked overnight dal
Jeera Rice,North Indian,Lunch,All Year,"Basmati Rice, Cumin, Ghee",Yes,20,,Goes with any curry
Aloo Matar,North Indian,Lunch,Winter,"Potato, Green Peas, Tomato, Cumin",Yes,25,,Simple everyday sabzi
Lauki Ki Sabzi,North Indian,Lunch,Summer,"Bottle Gourd, Tomato, Cumin",Yes,25,,Light and healthy
Tinda Masala,North Indian,Lunch,Summer,"Apple Gourd, Onion, Tomato",No,25,,Summer vegetable
Arhar Dal,North Indian,Lunch,All Year,"Toor Dal, Tomato, Turmeric, Cumin",Yes,30,,Simple everyday dal
Chana Dal,North Indian,Lunch,All Year,"Chana Dal, Onion, Tomato, Turmeric",No,35,,Protein rich dal
Moong Dal,North Indian,Lunch,All Year,"Moong Dal, Ghee, Cumin, Turmeric",Yes,25,,Light and easy to digest
Mixed Veg Curry,North Indian,Lunch,All Year,"Potato, Carrot, Beans, Peas, Tomato",No,30,,Uses seasonal vegetables
Kadhai Paneer,North Indian,Dinner,All Year,"Paneer, Bell Pepper, Tomato, Kadhai Masala",No,30,,Spicy and flavorful
Dum Aloo,North Indian,Lunch,Winter,"Baby Potato, Yogurt, Tomato, Cashew",No,40,,Kashmiri style
Methi Thepla,Gujarati,Breakfast,All Year,"Wheat Flour, Fenugreek Leaves, Yogurt",No,20,,Travel friendly flatbread
Undhiyu,Gujarati,Lunch,Winter,"Surti Papdi, Brinjal, Potato, Banana, Coconut",Yes,60,,Traditional winter dish
Dhokla,Gujarati,Breakfast,All Year,"Gram Flour, Yogurt, Mustard Seeds",Yes,30,,Steamed savory snack
Khandvi,Gujarati,Breakfast,All Year,"Gram Flour, Yogurt, Coconut",Yes,30,,Rolled gram flour snack
Dal Dhokli,Gujarati,Lunch,Monsoon,"Toor Dal, Wheat Flour, Jaggery, Tamarind",No,45,,Dal with wheat dumplings
Sev Tameta,Gujarati,Lunch,All Year,"Tomato, Sev, Onion, Green Chili",No,20,,Quick tangy curry
