Dish Name,Cuisine,Meal Type,Season,Main Ingredients,Is Jain,Cooking Time,Recipe URL,Notes,Complete Meal,Serves,Meal Weight,Protein Source,Fiber Source,Special Occasion
Dal Tadka with Chapati & Rice,North Indian,Lunch,All Year,"Toor Dal, Wheat Flour, Rice, Onion, Tomato, Cumin",No,40,,Complete meal for 3 people,Dal Tadka + Chapati + Steamed Rice + Pickle,3,Medium,Toor Dal,Wheat Chapati,Weekday
Rajma with Bhature & Onions,North Indian,Lunch,Winter,"Rajma, Flour, Yogurt, Onion, Tomato, Ginger-Garlic",No,60,,Winter comfort food for 3,Rajma + Hot Bhature + Sliced Onions + Green Chutney,3,Heavy,Rajma Beans,Rajma Beans,Weekend
Chole with Roti & Pickle,North Indian,Lunch,Summer,"Chickpeas, Wheat Flour, Onion, Tomato, Garam Masala",No,50,,Light summer meal,Chole + Roti + Achar + Onion Salad,3,Medium,Chickpeas,Chickpeas,Weekday
Palak Paneer with Naan & Rice,North Indian,Lunch,Winter,"Spinach, Paneer, Flour, Rice, Onion, Garlic",No,45,,Rich winter meal,Palak Paneer + Naan + Jeera Rice + Raita,3,Heavy,Paneer,Spinach,Weekend
Dal Baati Churma Complete,Rajasthani,Lunch,All Year,"Wheat Flour, Ghee, Dal, Jaggery, Milk",Yes,70,,Traditional Rajasthani thali,Dal + Baati + Churma + Ghee + Pickle,3,Heavy,Dal,Wheat Baati,Weekend
Gatte Ki Sabzi with Bajra Roti,Rajasthani,Lunch,Winter,"Gram Flour, Bajra Flour, Yogurt, Ginger",Yes,50,,Winter Rajasthani meal,Gatte + Bajra Roti + Buttermilk + Pickle,3,Medium,Gram Flour,Bajra Roti,Weekday
Ker Sangri with Missi Roti,Rajasthani,Lunch,Summer,"Dried Berries, Beans, Gram Flour, Wheat Flour",Yes,45,,Summer desert meal,Ker Sangri + Missi Roti + Lassi + Onion,3,Medium,Beans,Sangri Beans,Weekend
Misal Pav Complete,Marathi,Breakfast,All Year,"Mixed Sprouts, Pav, Onion, Tomato, Farsan",No,45,,Spicy breakfast for 3,Misal + Pav + Farsan + Onions + Lemon,3,Heavy,Mixed Sprouts,Mixed Sprouts,Weekend
Poha with Tea & Namkeen,Marathi,Breakfast,All Year,"Flattened Rice, Tea Leaves, Onion, Mustard Seeds",Yes,25,,Light breakfast,Poha + Chai + Namkeen + Sev,3,Light,Poha,Onions,Weekday
Sabudana Khichdi with Curd,Marathi,Breakfast,Monsoon,"Sago, Peanuts, Potato, Cumin, Curd",Yes,30,,Monsoon fasting meal,Sabudana Khichdi + Sweet Curd + Green Chutney,3,Light,Peanuts,Sabudana,Weekday
Vangi Bhaat with Pickle & Papad,Marathi,Lunch,Monsoon,"Brinjal, Rice, Coconut, Tamarind, Papad",No,50,,One pot monsoon meal,Vangi Bhaat + Pickle + Roasted Papad + Buttermilk,3,Medium,Rice,Brinjal,Weekday
Puran Poli with Milk & Ghee,Marathi,Dinner,All Year,"Chana Dal, Jaggery, Wheat Flour, Milk, Ghee",Yes,60,,Sweet dinner,Puran Poli + Warm Milk + Ghee + Cardamom,3,Heavy,Chana Dal,Chana Dal,Weekend
Aloo Paratha with Curd & Pickle,North Indian,Breakfast,Winter,"Potato, Wheat Flour, Cumin, Curd",Yes,35,,Hearty winter breakfast,Aloo Paratha + Fresh Curd + Pickle + Butter,3,Heavy,Curd,Wheat Flour,Weekend
Kheer with Puris & Sabzi,North Indian,Dinner,All Year,"Rice, Milk, Sugar, Wheat Flour, Vegetables",Yes,50,,Festival dinner,Mixed Vegetables + Puris + Rice Kheer + Papad,3,Heavy,Milk,Vegetables,Weekend
Bhindi with Roti & Dal,North Indian,Lunch,Summer,"Okra, Wheat Flour, Toor Dal, Onion, Tomato",No,40,,Summer lunch,Bhindi + Roti + Simple Dal + Buttermilk,3,Light,Toor Dal,Bhindi,Weekday
Aloo Gobhi with Paratha & Raita,North Indian,Lunch,Winter,"Potato, Cauliflower, Wheat Flour, Curd, Turmeric",Yes,35,,Winter comfort meal,Aloo Gobhi + Paratha + Cucumber Raita + Pickle,3,Medium,Curd,Cauliflower,Weekday
Baingan Bharta with Roti & Onions,North Indian,Lunch,Monsoon,"Brinjal, Wheat Flour, Onion, Tomato, Garlic",No,45,,Monsoon special,Baingan Bharta + Roti + Raw Onions + Green Chili,3,Light,Wheat Roti,Brinjal,Weekday
Kadi Chawal Complete,North Indian,Lunch,All Year,"Yogurt, Gram Flour, Rice, Tempering Spices",No,50,,Comfort food combo,Punjabi Kadi + Steamed Rice + Papad + Pickle,3,Light,Yogurt,Gram Flour,Weekday
Matar Paneer with Naan & Rice,North Indian,Lunch,Winter,"Green Peas, Paneer, Flour, Rice, Tomato",No,40,,Rich winter lunch,Matar Paneer + Butter Naan + Rice + Salad,3,Heavy,Paneer,Green Peas,Weekend
Mixed Dal with Khichdi & Ghee,North Indian,Dinner,Monsoon,"Mixed Lentils, Rice, Ghee, Turmeric, Ginger",Yes,45,,Monsoon comfort dinner,Mixed Dal Khichdi + Ghee + Papad + Pickle,3,Light,Mixed Lentils,Mixed Lentils,Weekday
Rajma Chawal with Salad & Papad,North Indian,Dinner,Winter,"Rajma, Rice, Onion, Tomato, Cucumber",No,50,,Complete winter dinner,Rajma + Steamed Rice + Cucumber Salad + Roasted Papad + Pickle,3,Medium,Rajma,Rajma,Weekday
Chole Bhature with Lassi,North Indian,Dinner,Winter,"Chickpeas, Flour, Yogurt, Sugar, Cardamom",No,65,,Rich weekend dinner,Chole + Bhature + Sweet Lassi + Onion Salad + Pickle,3,Heavy,Chickpeas,Chickpeas,Weekend
Dal Makhani with Naan & Rice,North Indian,Dinner,Winter,"Black Dal, Butter, Flour, Rice, Cream",No,80,,Luxury weekend dinner,Dal Makhani + Butter Naan + Jeera Rice + Raita + Papad,3,Heavy,Black Dal,Black Dal,Weekend
Sambar Rice with Coconut Chutney,South Indian,Lunch,All Year,"Toor Dal, Rice, Coconut, Vegetables, Tamarind",No,45,,South Indian complete meal,Sambar + Rice + Coconut Chutney + Vegetables + Papad,3,Medium,Toor Dal,Vegetables,Weekday
Thali Complete Gujarati,Gujarati,Lunch,All Year,"Dal, Rice, Roti, Vegetables, Yogurt",Yes,60,,Full Gujarati thali,Dal + Rice + Roti + Sabzi + Kadhi + Pickle + Papad,3,Heavy,Dal,Vegetables,Weekend
Simple Roti Dal with Achar,North Indian,Dinner,All Year,"Wheat Flour, Toor Dal, Mixed Pickle, Onion",Yes,35,,Simple everyday dinner,Roti + Dal + Achar + Raw Onions + Green Chili,3,Light,Toor Dal,Wheat Roti,Weekday
Upma with Coconut Chutney,South Indian,Breakfast,All Year,"Semolina, Coconut, Curry Leaves, Vegetables",Yes,25,,South Indian breakfast,Upma + Coconut Chutney + Sambar + Coffee,3,Medium,Semolina,Vegetables,Weekday
Puri Sabzi with Halwa,North Indian,Dinner,All Year,"Wheat Flour, Vegetables, Semolina, Sugar, Milk",Yes,55,,Traditional dinner,Puri + Mixed Vegetables + Suji Halwa + Pickle,3,Heavy,Vegetables,Wheat Puri,Weekend
Paratha Thali Complete,North Indian,Breakfast,Winter,"Wheat Flour, Potato, Curd, Butter, Vegetables",Yes,45,,Heavy breakfast thali,Aloo Paratha + Curd + Pickle + Butter + Chai,3,Heavy,Curd,Wheat Flour,Weekend
Idli Sambar with Chutney,South Indian,Breakfast,All Year,"Rice, Urad Dal, Toor Dal, Coconut, Vegetables",Yes,40,,South Indian breakfast,Idli + Sambar + Coconut Chutney + Coffee,3,Light,Urad Dal,Vegetables,Weekday
